"","title","url","date","thanks","content"
"11","Afrigreen Debt Impact Fund",46932,2022-10-28 04:00:00,"Africa","The Project is expected to improve the affordability of electricity supply for C&I customers in W&C Africa by supporting the development of ca. 90 megawatts of solar photovoltaic capacity. C&I customers in the target markets face high electricity costs due to high tariffs for grid electricity (e.g., Ghana and Senegal), as well as reliance on diesel generators in Sierra Leone and Nigeria. The Project will also contribute to reducing greenhouse gas emissions and air pollution by displacing fossil fuel generation with a green source. At the market level, the Project is expected to enhance financial integration by supporting a debt fund with a standardized, scalable platform approach to help address a funding gap for small and medium C&I solar, thereby demonstrating a financing model that may be replicated by other lenders."
"12","IDEI Green PCG",46559,2022-10-26 04:00:00,"Latin America and the Caribbean","IFC expects the project to generate an increase in access to quality housing for middle-income populations and have positive environmental effects through reduction in energy and water consumption. At the market level, IFC anticipates that the Project will promote financial integration of the housing market through demonstration effects, where the Company will diversify its lender base through the issuance of the first Sustainability-Linked Bond (SLB) by a housing developer."
"13","Kairouan Solar Plant",43011,2022-10-26 04:00:00,"Africa","The Project promises strong development impact in Tunisia as it is expected to (i) expand solar capacity to generate more efficient and environmentally friendly sources of energy to meet the growing local demand; (ii) contribute towards improved affordability of power by lowering the cost of generation, which is currently heavily reliant on imported fuel; (iii) contribute to power market competitiveness by attracting private sector participation; and (iv) enhance the power sector resilience by diversifying the country's power generation mix, which currently has a very low share of green generation infrastructure."
"14","InVivo Ukraine",47511,2022-10-25 04:00:00,"Europe","The Project has an Anticipated Impact Measurement and Monitoring (AIMM) rating of Satisfactory to Good. The most significant, expected Project-level outcome is the impact on farmers' access to markets and quality inputs as well as its contribution to global food security."
"15","Vivriti_ABS",46295,2022-10-24 04:00:00,"South Asia","1.	Access to finance for MSMEs including women owned MSMEs: As per IFC estimates, the MSME finance gap in India is ? 25.8 trillion (USD348.6 billion), equivalent to 18% of GDP, when aggregating both the formal and informal sector. By supporting financial institutions in offloading existing MSME loans, the project will free up capital for expanding additional financing to MSMEs.
2.	Market integration: The Project will support the development of the securitization market in India both from the buy-side as well as from the sell-side. By introducing a new platform to buy loan portfolios of multiple FIs through a fund structure, the Project will demonstrate the effectiveness and viability of such a vehicle and encourage further such funds/structures. On the buy-side, IFC's participation in this structure in India will encourage other domestic institutional investors as well as foreign investors to participate in the securitization market, which currently is dominated by local banks."
"16","Greenlam South Limited",45943,2022-10-24 04:00:00,"South Asia","The expected project-level outcomes are stakeholder effects, through contribution to employment and value-added to GDP in India. IFC anticipates that the Project will create significant jobs with the new upcoming capacity, including direct and indirect jobs. Contribution to market effects are to improve sector competitiveness through demonstration effects. The Project supports a market leader in laminate manufacturing to enter the particle board market, and expects to contribute to strengthening the competitiveness of the wood panels sector."
"17","Home First Debt",47289,2022-10-21 04:00:00,"South Asia","Stakeholders impact: 

Improved access to affordable housing finance and green affordable housing finance: IFC anticipates that the investment will increase retail borrowers' access to housing finance and green housing finance, and encourage homeownership for low-income segments. Rapid urbanization in India has led to several challenges including congestion, pressure on basic amenities, and severe housing shortages in cities, especially in the low-cost segment. 
Limited penetration of green housing is another key challenge in the housing market in India. IFC estimates a total green buildings/housing investment opportunity of US$1.4 trillion in India from 2018 to 2030. 

Market impact:

Competitiveness: IFC's support to the Project, along with IFC's other systematic engagements in the affordable housing segment, will promote greater competitiveness in the affordable housing market in India, including supporting the development of green affordable housing. The housing market in India is very active with both banks as well as NBFCs and HFCs providing housing finance. However, a large proportion of the housing finance focuses on higher income groups, and low and middle-income groups remain unserved/underserved. Although IFC has been supporting the development of affordable housing financiers through continued interventions, the shortage of affordable houses and affordable housing finance is substantial and would require continuous ongoing support.  In this context, the Project will demonstrate the viability of providing housing finance to lower-income groups at scale, and will also support the development of green affordable housing.
"
"18","Avenue II",46557,2022-10-21 04:00:00,"Africa","The Project is expected to contribute to increase the provision of health services in Kenya through increased capacity."
"19","Produbanco SGB",46941,2022-10-21 04:00:00,"Latin America and the Caribbean","The most significant, expected Project-level outcome is improved access to finance for SMEs, women-owned SMEs and climate-smart projects, including those associated with the blue economy. Beyond this Project-level outcome, IFC anticipates that the Project will further contribute to market wide sustainability through innovation, demonstration, and capacity building channels, as it will catalyze private FIs and investors to allocate capital to environmental challenges through blue financing."
"20","IFRIA TCLP SSA",45807,2022-10-21 04:00:00,"Africa","The Project is expected to improve access to high quality 3rd party TCL services in Morocco and Senegal through strategic acquisitions and greenfield investments that will add capacity of nearly 50,000 pallets across five facilities to meet growing demand, primarily in fruits & vegetables and fish supply chains. The investment will support economic growth and job creation in the target markets and will contribute to emissions savings through reduction of food losses and measures to reduce the carbon footprint of the facilities. Further, IFC expects the Project to improve competitiveness by introducing formality, efficient scale, new technologies and higher quality standards into the TCL industries in the target markets. Expansion of TCL services through the platform may also contribute to the integration trade flows across the North and West Africa region, as well as improved access to international markets for customers (by supporting imports), local fishing companies and producers (by supporting exports)."
"21","DARP NPL Jive II",46784,2022-10-20 04:00:00,"Latin America and the Caribbean","Stakeholders impact: The Project will support the acquisition and resolution of small and medium enterprises (SME) and corporate distressed assets in Brazil. By creating a more active distressed market, it will help: (a) financial institutions to offload distressed assets, and consequently release capital and decrease their liquidity needs, which will strengthen their capacity to increase their lending activity; and (b) Brazilian companies to normalize their defaulted obligations, regain access to credit and continue their operations. The Project will also support companies by providing immediate liquidity through the acquisition of their existing legal claims and precat<f3>rios.
 Market impact: IFC expects the Project will contribute to further develop the Brazilian distressed assets market by supporting Jive, an integrated asset manager and servicer which services a wide range of distressed assets. These are assets are currently not resolved in the market in an efficient manner."
"22","Transform Health Fund",46743,2022-10-19 04:00:00,"Africa","The project will promote access to growth capital for Fund investees in a number of Sub-Saharan African countries. By providing investees with needed financing it will support them to respond to the large gap in the availability of appropriate quality health services and products in these countries. Many of the investees would otherwise face challenges accessing finance. By providing financing to these companies the project will thus expand access to healthcare services and products. Providing support to these companies can be expected to have broader impacts on the markets they operate in and so strengthen these markets competitiveness and resilience. 

"
"23","Suzano Climate",45987,2022-10-14 04:00:00,"Latin America and the Caribbean","IFC expects the Project to generate economy-wide effects and to have positive environmental effects. At the market level, the Project will help strengthen the competitiveness of Brazil's pulp and paper sector by incentivizing other players to replicate zero fossil fuel technology and other designs that optimize energy and resource efficiency."
"24","Syrdarya CCGT",45205,2022-10-14 04:00:00,"Central Asia and Turkiye","The Project will constitute a strategic asset in Uzbekistan's energy mix and is expected to add cost-efficient baseload capacity to NEGU to meet the growing demand for electricity. The Project would also reduce carbon emissions in line with Uzbekistan's Nationally Determined Contributions ('NDC') by displacing existing aging generation units with a more efficient CCGT technology. The Project would contribute to increase the resilience of electricity supply by adding installed capacity to the energy mix, and stabilize baseload supply to provide the necessary system flexibility to scale up renewable energy generation in line with Uzbekistan's carbon neutrality roadmap. The Project could also improve sector competitiveness by reinforcing market structure with increased IPP participation."
"25","Sococim Low Carbon Cement",46721,2022-10-14 04:00:00,"Africa","The most significant expected project-level outcomes are economy-wide and environmental effects. Beyond the Project, IFC expects the project will contribute to improve the sustainability of cement production in West Africa through dissemination of production processes compliant with the most demanding sustainability international standards; and increased availability of low carbon fuels."
"26","GRPO Green Bond",47232,2022-10-12 04:00:00,"Europe","The Project raises financing through a green bond issuance to refinance existing liabilities which were used for redeeming a portion of the US$250 million Eurobond issued in 2020 by GGU. The Project will help GCAP to support GRPO's core business and new renewable energy investments. The debt refinancing supported by the Project unlocks risk capital from the Sponsor to develop renewable energy projects. The main expected project-level outcomes are the positive environmental effects derived from increasing renewable energy capacity in Georgia and facilitate renewable energy supply to meet growing demand in Georgia. At a market level, the investment increases financial integration of Georgia's infrastructure corporates to capital markets and contributes to develop domestic capital market through demonstration effects."
"27","Sal de Vida",45668,2022-10-06 04:00:00,"Latin America and the Caribbean","IFC expects the Project to generate significant economy-wide impacts and local community benefits that will improve the fiscal outlook, economic performance, and social welfare (particularly for the bottom of the pyramid population) at national and regional levels. The anticipated market creation effect results from the Project's support for the transition to a low carbon economy by helping Argentina's lithium mining industry to integrate further and contribute to the global market. The Project is expected to increase Argentina's contribution and participation in the global lithium industry and set high sustainability standards for Argentina's lithium mining industry. The Project will further strengthen Argentina's position as a key global supplier of lithium for the decades to come. Sal de Vida is expected to contribute to the economy of Catamarca and its stakeholders via local employment, the development of local supply chains, and community development programs."
"28","DCM FHIPO CL",47034,2022-10-05 04:00:00,"Latin America and the Caribbean","IFC's support will enable FHipo to expand the scale of its investments, by increasing the amount of residential mortgage portfolios acquired by them. This in turn is expected to have the following impacts: i) Residential mortgages originators will be benefited by obtaining access to liquidity and funding diversification to increase their operations, and, consequently, increasing the number of families being able to get mortgage financing; ii) investors will benefit since the project will contribute to a wider availability of impact investment opportunities in the capital markets and iii) enhancing Fintech mortgage market in Mexico through FHipo's partnership with YAVE.

The project will also have stakeholder impact as it will i) increase access to housing finance for formal sector workers that are currently un(der)served by commercial lenders; and (ii) complement the public sector's effort in addressing the severe shortage of affordable housing. Additionally, IFC anticipated that the Project will promote greater market inclusiveness by encouraging other financial institutions to replicate an innovative financing model that targets women-headed households, which have a lower access to finance and to housing loans in Mexico. IFC expects this financing method will help scale the availability of support for women and offering a model for replication by other financial entities."
"29","Arcelik LTF",45316,2022-10-05 04:00:00,"Central Asia and Turkiye","The Project's expected development outcome includes (i) economywide effects, through exports and job creation, and (ii) promotion of sector integration in terms of novel productive capabilities and technology transfers in Bangladesh."
"30","Banco Internacional Blue Bond",46190,2022-10-04 04:00:00,"Latin America and the Caribbean","IFC anticipates that the Project will increase access to climate finance, in particular blue economy projects aligned to international standards. 

Being part of a programmatic set of interventions from both the IFC and the WB that aim to increase Blue Finance in the country, beyond the project-level impact, IFC anticipates that the investment will contribute to greater market sustainability by promoting a new asset class following and disseminating the recently published IFC Blue Finance Guideline Framework in line with ICMA's Green Bond Principles."
"31","BI COVID 19 WCS",46242,2022-10-03 04:00:00,"Latin America and the Caribbean","Expected Development Impact of the Project

The expected project-level outcomes are: Increased access to finance for SMEs (including WMSEs). Beyond the project-level outcomes, IFC expects this Project to contribute to market resilience, by supporting a systemic player to maintain and strengthen the SME lending market.                                  
"
"32","Banistmo Loan",46951,2022-09-30 04:00:00,"Latin America and the Caribbean","The most significant, expected project-level outcome are increased access to finance for SMEs including women-owned SMEs (WSMEs) and increased access to housing finance for low- and middle-income households including female-headed households. Beyond the project, IFC anticipates that its financing will promote greater market inclusiveness via demonstration and replication and capacity building channels."
"33","DCM-CRO-MREL Sustainability Bond-Raiffeisen Croatia",46592,2022-09-29 04:00:00,"Europe","The project is expected to:
i) contribute to increasing access to financing for eligible climate and social projects in Croatia
ii) contribute to greater market resilience by enhancing the capitalization of systemically important banks toward compliance with regulatory requirements under the European Commission's bank recovery and resolution directive 2019/879/EU (BRRD 2) by January 2024. 
"
"34","CR-SME FRB",46369,2022-09-27 04:00:00,"Africa","EnvSocialRisksImpact Pending"
"35","GTLP SCB V",47186,2022-09-23 04:00:00,"Global","Increased access to finance: The Project will increase access to finance for Emerging Market importers and exporters. Improved availability of credit is expected to benefit local enterprises (producers and importers, including SMEs) along with value chain and, therefore, support growth, sustain employment and encourage the generation of higher incomes. Demonstration Effect: The Project will show other market participants the strength of an IFC partnership with a major international bank and Program Partners to support trade finance globally. The Project will have a strong demonstration effect by encouraging greater local/regional bank participation in Emerging Markets trade finance, thereby increasing access to such type of financing for local importers and exporters."
"36","Altum CKD II",46654,2022-09-21 04:00:00,"Latin America and the Caribbean","The most significant, expected Project-level outcomes are: (i) an increase in access to finance for SMEs, and (ii) an increase in the availability of climate finance by providing alternative sources of long-term financing to well performing SMEs and NBFIs. The Funds provide direct loans to SMEs and enable NBFIs to on-lend to underserved and constrained SMEs. Beyond the Project-level outcomes, IFC anticipates that the investment will contribute to market creation by improving environmental sustainability by establishing international green lending principles in the climate finance segment. Further, IFC expects this project to demonstrate the commercial viability of climate lending to SMEs and therefore encourage replication through alternative funding channels, such as debt funds."
"37","Xcaret Hotels",46438,2022-09-21 04:00:00,"Latin America and the Caribbean","The most significant expected project-level outcomes are economy-wide effects through increased direct value-addition and job creation, as well as indirect effects through increased economic activity in the supply chain. In addition, the Project will promote environmental effects through increased resource efficiency and carbon emission savings, as the new establishment will be EDGE certified. Beyond the Project, IFC anticipates that the investment will promote competitiveness by adopting green building practices and the Group's commitment to international Environment, Social and Governance Practices, which is critical for a healthy and sustainable recovery of the sector."
"38","Dav Co Inclusion",47215,2022-09-20 04:00:00,"Latin America and the Caribbean","The most significant, expected Project-level outcome is improved access to finance for female-headed social households, WSMEs, LGBTI people and climate-smart projects. Beyond this Project-level outcome, IFC anticipates that the Project will further contribute to market creation through capacity building, competitive pressure, and demonstration and replication channels, as it will trigger market-wide impact on financial inclusion of LGBTI people."
"39","Gozem Vehicle Financing Platform",45714,2022-09-14 04:00:00,"Africa","Development ImpactsThe main project-level impact is on stakeholders by supporting improved access and quality of urban transportation, and from increased formalized&nbsp;employment improving&nbsp;&nbsp;quality and diversity of jobs. The project may also contribute to lowering the energy intensity of transport infrastructure by utilizing new vehicles with higher fuel efficiency. Beyond the Project, the investment is expected to increase market competitiveness through improved innovation and project offering by developing a replicable financial and technical solution for the transport sector aimed at increasing the stock and quality of ride-hailing in francophone markets."
"40","DFP Patria Infra",45779,2022-09-13 04:00:00,"Latin America and the Caribbean","The most significant expected project-level outcome is the improved quality of finance for infrastructure corporates through the provision of an alternative source of long-term local currency funding for projects aimed at increasing quality of infrastructure in Brazil. Moreover, the Project is expected to include a focus on projects and companies with female participation. Beyond the Project, at the market level, IFC believes that the Project will contribute to deepen integration of infrastructure to capital markets by demonstrating viability of infra debentures to finance greenfield and brownfield infrastructure projects with more flexible terms under a non-recourse basis, as well as the catalytic role of debt funds to mobilize institutional investors and position infrastructure debt as an investible asset class."
"41","Eurofarma",46047,2022-09-12 04:00:00,"Latin America and the Caribbean","The most significant, expected project-level outcome is an increase in access to vaccines and oral solids and antibiotics. Beyond the Project, IFC anticipates that its financing could support greater market resilience as spillover effects accrue to the healthcare supply chains in these markets."
"42","GBRO Green Loan",46792,2022-09-09 04:00:00,"Europe","The most significant, expected project-level outcome is increased access to green housing finance in Romania. Beyond the Project outcomes, IFC anticipates that this investment will promote market sustainability by the diversification of product offering, and the adoption of best practices in green mortgage finance through demonstration and replication channels."
"43","Zhonggu GL",45583,2022-09-09 04:00:00,"East Asia and the Pacific","The project will support Zhonggu in expanding its operations through investment in vessels and containers, which will strengthen its multimodal transportation services and dry bulk containerization. The main project-level outcomes are the positive stakeholder effects of supporting increased volume of domestic cargo transported by expanded shipping capacity, and increased inland connectivity by supporting the Company's strategic expansion of multimodal transportation. Moreover, by shifting transportation from roads to sea and rail, the project is also expected to lead to positive environmental outcomes. At the market level, the investment is expected to contribute to competitiveness by supporting private investments in the domestic shipping sector, and demonstrating the shift towards dry bulk containerization and multimodal transportation."
"44","Africa Go Green",46290,2022-09-08 04:00:00,"Africa","AGG will fund decarbonization efforts in various sectors including (i) housing, (ii) e-mobility, (iii) manufacturing or industrial facilities, and (iv)  energy efficiency appliances, such as clean cooking solutions. Furthermore, IFC expects the Fund to attract additional investment to these sectors by demonstrating the viability of green investments in Sub-Saharan Africa. With new entrants in the market, IFC expects the Fund to foster a deeper integration of target countries' firms to global financial markets."
"45","GPE Debt",45197,2022-09-08 04:00:00,"Africa","The Project is expected to result in increased access to quality connectivity for individuals and businesses in Ethiopia, a country with large connectivity gaps. These outcomes will be achieved by rolling out fixed and mobile networks, including using a mix of 2G, 3G, 4G and 5G technology, with the objective to rapidly increase population coverage by 2029. Beyond the Project, this investment has the potential to create a competitive market for telecommunication services in Ethiopia via an enabling legal framework and competition facilitated by the entry of a new private sector-led operator, as part of the liberalization of the telecommunications sector."
"46","DCM JKB Green Bond",46431,2022-09-08 04:00:00,"Middle East","The Project is expected to have the following Development Impact: (a) Stakeholders' effect  Increased Availability of Climate Finance: IFC will provide up to 5 years financing that will be leveraged by the Bank to grow its green portfolio which requires availability of longer-term capital. This will help in improving access to climate finance, contributing to the overall reduction in GHG emissions. IFC estimates that this investment will result in greenhouse gas reduction of approximately 31,376 tCO2e by 2027. As a reporting indicator, IFC will track the green-house gas emission reduction per year; and (b) Contribution to Market Creation - Sustainability: IFC anticipates that the Project will promote sustainability through the issuance of the first green bond in the country that will set standards for further such issuances and increase overall climate/green financing in Jordan. The Project is expected to establish and set the standards for green bonds in the market and hence encourage replication by other issuers. This is expected to mobilize incremental long-term resources for climate finance related projects and raise awareness among private sector companies of the merits of diversifying their financing sources and attracting capital markets financing to support green projects. As the first green bond in Jordan, the Project will set standards for the future issuances and introduce a new asset class to the local capital markets, which is expected to generate strong interest and pave the way for climate capital market transactions for a wide array of investors."
"47","Global Partners",44591,2022-09-07 04:00:00,"Africa","The Project is expected to result in increased access to quality connectivity for individuals and businesses in Ethiopia, a country with large connectivity gaps. These outcomes will be achieved by rolling out fixed and mobile networks, including using a mix of 2G, 3G, 4G and 5G technology, with the objective to rapidly increase population coverage by 2029. Beyond the Project, this investment has the potential to create a competitive market for telecommunication services in Ethiopia via an enabling legal framework and competition facilitated by the entry of a new private sector-led operator, as part of the liberalization of the telecommunications sector."
"48","CCF Pilot",45927,2022-09-07 04:00:00,"Latin America and the Caribbean","The most significant,
expected Project-level outcomes are increased access to financing for producers
of NBS carbon credits and increased access to carbon credits for purchase by
entities seeking to use the credits, both of which will contribute to the
global transition to net-zero emissions. Beyond the Project-level outcomes, IFC
anticipates that the investment will support the growth of the carbon credit
market."
"49","Dembesh Hotel",45729,2022-09-06 04:00:00,"Africa","The most important project level outcomes are:
(i) Economy wide effects: The Project which will support the expansion and modernization of the hotel is expected to have various positive economy-wide effects including: (a) direct job creation/preservation and contribution to GDP during the construction and operation phase of the hotel as well as indirect effects across the supply chains; (b) higher tax revenues for local government; (c) provision of infrastructure supporting the development of the tourism sector; and (d) increase in economic activities through increased international arrivals. These benefits will be important in South Sudan, where unemployment rates, exports are heavily dominated by oil and tourism & travel represent a small share of the GDP; and
(ii) Stakeholder impacts: (a) Employees: The Project will also contribute to local skill development. Dembesh Hotel will provide training to all its employees, addressing the skills gap and (b) benefit local suppliers through increased linkages.

Beyond the Project, IFC anticipates that the investment will facilitate market creation in terms of:
(i) Competitiveness: The Project is anticipated to be the second internationally branded hotel to enter the market, contributing to the development of the country's business infrastructure; and 
(ii) Integration: The Project has the potential to promote integration of local suppliers within domestic supply chains. As suppliers receive training and contingent to level of training they receive, they can expand their reach beyond the hotel and start working with other local players."
"50","Karavasta Solar",45644,2022-09-06 04:00:00,"Europe","The Project will increase the electricity supply in Albania at a competitive tariff (for the supported generation). The Project contributes to increased resilience through the diversification of Albania's energy mix, which is currently fully reliant on domestic hydropower plants and imports. The Project contributes to an improvement in competitiveness by demonstrating the viability of developing PV solar projects with a mixed tariff structure and off-take strategy that takes partial market risks.  It is expected that successful financing and implementation of the project will encourage further private investments in the country."
"51","Dhiraagu II",43786,2022-09-01 04:00:00,"South Asia","The main project level outcomes are (i) increased capacity of broadband networks through the construction of the first direct- route submarine cable providing digital connectivity between the archipelago of Maldives and the global Internet, reducing its dependency on other countries, and resulting in quality of broadband connectivity for individuals and businesses, and (ii) increased employment opportunities for women in technical roles. Beyond the project, this investment is expected to result in increased competitiveness of the market for broadband connectivity by inducing a market-wide improvement in affordability via competition channels."
"52","Lighthouse IV",47137,2022-08-31 04:00:00,"South Asia","Project level outcomes are delivered through increasing access to equity and value creation for mid-market companies in India, including supporting investees that are female-owned/led. Lighthouse is an experienced fund manager and will provide strategic and operational expertise to help investees to expand into new market segments and streamline operations. 

Market creation is delivered by strengthening the competitiveness of the private equity (PE) market in India. The project supports an experienced fund manager to raise a follow-on fund in the mid market segment. Beyond the project, the success of the Fund will encourage other local fund managers to raise new or follow funds in the segment. In turn, this will attract domestic and international institutional investors and is expected to reduce the need for development finance institutions (DFI) presence in the market for future fundraisings
"
"53","KCB Senior Loan",46587,2022-08-31 04:00:00,"Africa","The most significant expected project-level outcome is improved accessibility of climate finance. Beyond these outcomes, IFC anticipates that its concerted investment and advisory services approach with the leading bank in Kenya will send a positive market signal on the commercial viability of further market expansion of green assets, including green buildings; thus, contributing towards increased sustainability through the demonstration, replication, and capacity building channels."
"54","Kamal Steel",46058,2022-08-30 04:00:00,"Africa","The most significant expected project-level outcomes are (i) economy-wide effects through value-addition and job creation in the target countries and (ii) environmental effects based on the reduction of greenhouse gas emissions in the Tanzania and South Africa plants, enabled by the adoption of more resource efficient production processes. Beyond these outcomes, IFC expects that the Project will promote competitiveness in the steel industry in Tanzania by supporting the vertical integration of the supply chain with the operationalization the plant in South Africa. The Project will allow the Company to lower costs of production, improve resource efficiency, and expand its production capacity. This will likely generate competitive pressures and provide demonstration effects to other players, who will be incentivized to adopt a similar business model and improve the cost-efficiency of their operations, directly supporting the steel industry's competitiveness."
"55","Uniao Quimica",46445,2022-08-26 04:00:00,"Latin America and the Caribbean","The most significant, expected project-level outcome is an increase in access to vaccines and much-needed medication in Brazil, including additional capacity for COVID-19 treatment medication. There is also expected to be an impact on market resilience through strengthening the supply chain to deliver medication and vaccines."
"56","SCV Fund III",46554,2022-08-26 04:00:00,"Europe","Project level outcomes are delivered through increased access to early-stage equity and operational value add for technology companies, primarily in the SEE region (mainly Serbia, Croatia, Slovenia, North Macedonia and other West Balkan countries). The fund will provide access to equity and value-creation for investees by helping them raise follow-on capital, introducing experts into portfolio companies to accelerate growth and leveraging their networks and relationships to enable scale.

Market creation is delivered through increased competitiveness of the venture capital market in SEE and through increased disruption of key markets with the support of market-disrupting digital business models. The  VC funds market in the SEE region, and in particular the Fund's target countries, is notably underdeveloped. SCV remains the only VC fund that has maintained presence and invested consistently in some of these countries over the past 10 years. IFC anticipates the Fund will send a signal to improve market competitiveness by demonstrating the viability of early-stage venture capital in the region. Furthermore, the Fund supports investees that develop tech-led innovative solutions to disrupt various real sector business models. IFC expects this will increase digitization and automation across some real sectors in the region."
"57","Holland",46471,2022-08-26 04:00:00,"Europe","The Project will contribute to (i) the production of 'green' metals through the acquisition and growth of a PGMs recycling company in an emerging market; (ii) recovering of scarce and valuable materials (PGMs & non-ferrous metals) to transform them into critical industrial and metallurgical commodities, resulting in lower greenhouse gas emissions compared to primary mining; (iii) creation of employment and economic activity in emerging markets; and (iv) demonstrating the application of circular economy concepts and energy-saving technologies and practices in e-waste, used lithium-ion batteries, and spent catalysts management, which can contribute to their increased adoption in the sector."
